BedCt,AreaCd,Phone,PerDiem
123,781,7299370,13587
174,978,4750944,26332
54,508,6790144,16033
176,413,7892200,23939
142,508,9918600,25946
55,781,5955500,15246
94,978,9392196,17625
101,781,8482050,25564
64,781,6316120,28630
167,617,7695100,26947
135,978,5358700,14989
138,508,5836000,20782
123,978,7721704,22146
83,617,5222600,31999
22,781,4381116,26381
120,508,2261650,26770
77,978,3735697,17119
120,781,5855561,16135
169,508,5806800,23048
169,781,4388515,31656
164,508,7557300,27525
53,508,6519200,24753
96,508,3932368,12513
154,508,2349771,20352
152,508,3669933,24082
123,508,9981188,24925
73,508,9973358,19379
156,617,4891200,21387
32,781,4306000,13526
205,617,7381500,18958
44,978,6821614,23069
57,413,2584731,30139
54,413,4454056,26411
169,508,8726750,28849
33,508,8835818,21798
73,508,4731272,31611
131,978,8513121,18812
75,508,7915543,23815
92,781,3447300,1685
132,978,9272020,14894
96,617,8253905,2139
121,617,2652350,13571
142,508,7598880,21255
120,508,5863696,29144
177,781,8483100,24579
118,508,9977787,3117
135,508,9979396,12736
159,978,7772700,32340
120,781,4494040,13337
43,508,6974616,15442
64,978,4624221,18647
78,617,7310515,24152
123,508,5888550,29850
49,781,8639660,24448
81,508,9433889,24126
160,617,3330600,25645
120,413,7743143,3268
83,617,8644267,14343
70,781,7884795,29051
123,508,8888222,30738
120,508,7781835,25162
65,781,5459477,25623
120,617,7311050,15288
135,978,3713400,21078
202,978,9273260,28198
164,413,5387941,20885
211,781,8627400,21111
160,978,4545644,17973
154,508,7930088,15723
154,508,9964600,25946
202,617,9694660,13012
125,413,5863150,25825
150,978,5310772,30534
168,781,9611160,27952
254,413,5253336,15817
154,781,3409800,31781
132,978,9880888,28594
179,781,2758700,2838
55,508,8796100,12940
300,508,6790011,29935
107,978,6863906,31322
134,413,2568185,14540
160,413,7374756,24011
123,413,7743724,25913
124,781,7627700,1875
123,617,8846766,29595
82,617,8892250,31311
88,781,2338123,15683
75,617,2445407,23339
68,413,5927738,31413
156,508,7543800,21127
70,781,3265652,13957
142,508,6757589,32436
45,508,3519355,20471
205,781,3373121,20821
92,781,8710200,26454
45,781,8210820,18977
16,978,5367950,2856
88,978,5362150,13720
123,781,3412300,31681
43,617,7347138,30979
111,978,4655361,24365
86,508,3799700,15832
109,508,4730435,13837
30,508,8725250,24598
224,781,3915400,16762
89,413,6843212,1938
112,508,6794866,29986
208,978,4545681,16954
33,978,5691071,25147
33,781,9444410,25390
145,781,3291520,26838
76,978,5466311,30935
130,781,3245600,2060
30,508,6696741,27390
190,617,5692100,29531
32,508,5432131,25512
50,781,4728300,29321
119,413,5256361,15335
195,617,8845700,28912
154,413,5845057,20329
114,508,6551000,20122
84,781,2372161,2432
191,781,7626880,1335
45,781,6627500,2925
20,978,2873620,19869
152,781,8618630,28140
169,978,4583388,19120
180,413,5284560,32477
176,508,7301070,31074
62,508,6796172,21960
122,413,7743111,21320
87,978,3433530,18620
160,978,3450146,30417
82,508,5284600,32187
133,508,2224950,16423
124,978,6328776,15758
133,617,3251230,22124
164,781,3910800,21582
101,978,2810333,22925
100,413,5625464,32319
88,413,5283320,31536
36,781,2460211,1260
123,978,7415700,15056
123,508,5876556,32639
142,617,7734222,25857
107,508,9470332,14476
128,978,3731747,29522
142,781,7494774,21945
80,781,3839060,20924
142,508,9966763,27748
120,978,7746955,16921
73,617,3324730,18926
154,781,8287450,21132
123,413,7868000,16373
124,413,7868000,18676
122,413,7868000,19982
164,413,7868000,24874
142,978,4590546,25979
101,508,7918131,23344
26,508,6791411,29745
168,978,3434411,25540
120,413,5848457,23172
265,413,4452300,21966
123,508,8294327,27038
113,508,8521000,25512
102,413,5387470,30910
120,978,7773740,2215
77,508,9470151,26890
84,617,7764420,32733
180,978,5324411,13513
57,781,5810420,18489
141,508,7988653,13789
200,413,5673949,1794
132,508,4574621,16798
71,617,4790837,1482
138,781,8431860,14880
124,508,8728801,29279
106,978,5379327,23912
74,413,6375011,30529
124,508,6790106,23690
89,617,2688968,31988
164,781,9615600,25952
142,781,4619663,24178
142,781,2346300,17156
82,508,8536910,2101
65,781,6314535,23375
91,978,3721081,23939
96,508,9491334,22343
44,617,6637000,17955
120,617,5221550,27071
123,978,9211392,17089
88,413,2432011,18762
100,617,8870001,29140
132,508,9454611,29884
155,978,2639101,22861
123,508,2224182,32790
154,508,8324800,23041
133,978,5370771,2042
124,978,6672166,23641
120,978,4863512,21136
150,508,7479800,21047
154,508,8215700,15598
94,781,6622545,14237
123,781,5929667,12626
117,781,5451370,30556
150,508,5804400,2669
123,413,5963111,30663
123,781,2863100,13290
123,413,5867700,25861
132,781,5347030,19211
100,508,8241467,2731
92,413,5387551,28328
42,413,7821800,15183
123,508,7548877,24936
53,508,2789500,31250
250,978,6856321,14966
129,508,6992740,24472
144,508,3847977,18413
120,978,3883500,25310
366,617,2683333,19565
116,508,8224885,29310
78,508,4853791,30592
123,781,8930240,30730
196,508,4854040,27575
124,508,6509003,27484
40,413,4932752,29355
123,978,8877002,3223
72,508,9577007,22972
123,781,8998600,30477
135,508,8924858,15268
60,978,7253300,26218
142,781,3964400,25021
123,508,5336634,22166
106,781,6657050,18634
130,978,3884682,19387
135,508,4736414,22886
84,413,5386050,29448
69,413,6372660,26394
125,413,5323246,13713
100,413,4997186,19032
102,508,9478632,24917
112,617,4970600,14541
154,978,6827611,14264
80,508,9979314,23062
56,413,6652740,27599
81,978,7740445,3112
80,978,6675123,23662
48,781,2349660,18617
100,508,7462912,30437
110,781,2376400,22077
119,413,6644041,28536
100,617,7269700,14351
123,978,4588773,15799
170,781,7692200,29347
123,508,8523011,26847
123,508,8773300,16256
92,508,8356076,2648
123,508,9474775,2971
122,508,9987807,25863
100,508,8536687,14819
45,508,2280462,1972
117,508,9994561,17681
181,508,2487344,15583
120,978,3731131,17514
124,978,2563151,31357
61,413,2838361,16315
89,781,6489530,14160
53,617,3612388,24240
162,508,7914200,17176
82,508,7756663,30286
160,978,3740707,29330
29,781,5928000,25426
152,978,5320303,27161
81,781,8628151,31164
135,508,2403500,16625
101,508,7474790,13134
186,508,7464343,26433
63,413,7746318,17778
43,508,3843531,19972
49,781,3354352,23687
123,978,4627373,30014
126,978,6858086,13762
122,617,7828113,32234
142,978,2493717,13424
166,508,8677716,29980
106,781,7494983,18621
126,617,4792820,14738
50,617,3258000,23412
183,617,3876560,23870
61,413,5363435,2999
144,508,4816123,22589
82,978,3654537,13528
55,508,6538330,21734
151,978,3695151,24871
107,508,9977448,14754
40,508,6538500,25243
204,781,8483678,15790
99,508,7595752,14174
113,978,2762000,23374
90,508,5635913,28458
86,781,6594901,29571
121,508,5483800,22740
120,508,4772490,18031
107,508,9973193,15288
77,508,9878417,20921
82,508,7543276,16869
56,508,9970791,24953
94,978,6862994,23618
111,508,3787227,27276
217,508,9966751,1908
22,781,3379074,20430
141,617,8682200,31339
183,508,6751001,25094
80,781,2336830,22726
39,508,9942400,18186
62,978,9482552,21051
142,978,2830300,14587
41,508,4877090,25167
44,508,3843400,19784
83,978,4483388,26778
196,617,7312400,23411
103,508,8456786,23920
123,508,7483830,18718
72,781,4449910,26599
88,617,8845660,20338
135,508,6790697,16031
141,617,4230590,17984
128,508,3856034,24740
144,508,7659133,24066
171,508,2387053,23667
152,508,6752500,27190
96,781,8783308,31489
142,781,9827450,19553
123,617,3255400,14618
135,413,4992334,22660
123,508,2347306,32241
137,508,7558605,19194
118,508,5835834,31796
123,617,8256320,22922
172,508,7534791,13140
333,508,8798000,13041
143,978,4225111,19381
82,617,5270023,19313
79,617,3276325,14358
92,978,4439000,16864
93,978,2560231,26569
142,978,6881212,20331
184,413,4588127,31163
101,508,8211085,31486
21,508,9432600,20078
50,508,2552328,16591
42,508,3596050,17382
71,413,5282650,16198
40,508,4294566,31910
80,978,4545438,21454
104,508,2951040,24246
101,978,7770011,24823
85,617,2965585,20977
76,617,3235440,31659
141,617,3251688,17716
172,413,7876700,19856
31,781,7620858,18721
88,617,3328481,30336
96,978,6325477,18765
149,781,2457600,27752
90,508,6603080,17226
175,508,2956264,2693
163,617,9241130,22810
103,508,8796420,17811
135,508,9490644,14440
110,781,8710555,3097
94,508,8230767,20032
123,617,9692300,31862
140,781,3224861,30474
91,508,7526763,31929
117,508,3669131,30233
98,413,5625121,30874
80,413,5682341,27444
123,978,3921144,32679
20,978,3728000,27676
19,508,8712000,17521
180,413,4582111,15750
85,413,3154205,15754
103,413,5362540,14036
90,978,4548086,30485
121,781,7299595,28454
106,508,6966465,29074
120,508,3943514,24448
135,978,4703434,2806
115,978,4581271,15951
173,508,8967046,19214
135,617,2439990,32472
135,413,5251893,16410
100,413,5665511,17866
135,508,4301717,23192
146,978,3727700,25143
142,781,4559090,12620
106,508,2857745,27392
123,781,9421210,16542
66,781,7846781,21671
164,781,5854100,24681
132,413,5322200,13233
120,413,7967511,26438
142,978,4432722,18557
168,413,7333151,31557
160,781,8916100,1872
135,413,5962411,18183
173,508,7913147,23748
140,781,9338175,19940
142,978,6582700,17954
160,508,8523330,24265
160,508,8605000,1581
13,617,8251793,23432
32,978,2495110,16728
57,413,5324892,17869
34,508,8673325,18645
36,978,7440219,17789
11,617,4451868,1537
35,508,7556404,18785
28,978,3455827,14058
37,508,7754881,32465
20,508,8880880,18678
32,508,2485136,17272
36,508,7469406,20691
58,508,8392124,2560
36,617,2880400,3002
30,508,2857944,31392
34,508,7567310,22198
25,508,9939255,28916
18,781,3240150,27094
60,508,8538180,31737
60,508,3653947,16722
26,781,3370772,12512
12,413,7337162,31116
32,617,3615150,15384
26,781,6650521,30971
13,781,4380580,23480
31,978,6825593,12687
20,978,6855505,28651
60,617,5363726,28920
41,508,9943120,22818
28,978,3881010,17423
32,508,7557915,26451
30,978,3748861,25635
24,413,6256560,22654
39,413,5842865,32774
40,781,8932557,1267
30,508,8853338,16864
37,781,5938099,26443
34,781,5957110,21674
87,781,2372161,25440
27,508,8811360,14870
18,617,5275657,2721
60,617,5227600,28711
9,978,4657091,27195
82,508,8538180,22954
25,781,6653188,19487
19,781,2454778,21634
28,978,3437400,26134
24,617,5270023,25323
14,508,8538333,19577
60,508,2268616,21730
25,413,5843776,16819
61,413,5862902,23244
33,508,4320135,20991
24,508,9472155,27873
5,781,9639116,13792
59,617,7760260,14568
36,617,3257900,14658
89,413,7365494,18273
16,781,8780676,22033
14,508,2387262,27480
25,978,5346270,23643
16,508,5830040,19442
20,508,3782451,23647
36,781,3355884,18020
36,508,3765083,22573
28,508,7983727,21879
15,508,8522438,32028
111,978,4631010,30250
25,978,2493511,23974
89,413,7730211,17222
724,413,7940000,31798
74,413,2837651,25731
298,413,4472000,22588
58,781,4533000,20851
164,508,8302005,13211
88,617,6964600,3034
268,617,6678000,29462
405,617,6327000,23577
79,978,2834000,29857
223,978,9223000,22490
404,617,3556000,31449
368,617,4145000,23769
214,617,4145000,13690
162,617,5225800,25673
763,617,7325500,24798
252,508,7711800,30867
159,617,2964000,21515
189,617,4981000,22587
162,617,4981000,1601
41,978,3683000,21316
140,413,5822000,31573
0,617,6323000,13152
150,978,3691400,22515
25,413,5280790,28237
95,508,5485300,21369
224,508,5884000,19647
98,781,3066000,18172
174,781,9793000,12812
103,508,7659771,19758
122,978,   ,28816
134,978,6323420,15289
223,978,6870151,19698
124,978,3742000,24978
198,413,5365221,20132
335,781,7448330,19572
10,978,2735100,28798
189,978,6834000,24797
157,978,4581411,3187
239,978,9376000,16910
79,508,4851121,25321
25,508,6930410,1302
41,617,5237900,28387
1035,617,7262000,29864
229,413,7489000,22931
147,508,3831000,29371
160,508,3831000,13025
145,508,4731190,28322
125,508,8287000,23292
217,617,4923500,25340
19,508,2281200,2686
77,978,7849000,19281
118,617,7545800,32328
265,617,2436000,26144
97,413,5682811,12555
244,978,7411215,16543
128,781,5819200,23714
215,781,7694000,21685
185,508,6745600,32358
40,413,7872000,14130
30,617,7223000,12922
197,508,9417000,21455
370,781,3408000,27590
328,508,6797115,25391
391,508,9971515,16538
74,508,2950880,27767
252,617,7893000,25814
283,508,3635000,16172
132,508,2368000,29895
415,617,6365000,22491
303,508,3341000,19176
431,508,3341000,31949
189,781,7299000,22938
114,508,7990534,25835
12,978,4631000,13936
.,232,7224400,19614
.,617,7313200,29262
.,508,7618500,2687
62,781,9223000,20572
.,617,4690300,26559
.,508,5632276,25088
198,781,2978417,18395
.,508,6782901,19188
.,617,2668800,2078
110,508,7916351,28786
112,617,2543800,15235
166,781,8485353,14161
20,978,9355050,1442
22,978,9355050,28414
168,781,9355050,22430
53,413,5838820,25139
455,617,3258000,17783
220,617,3638913,27850
.,774,6281011,1652
.,617,5228110,25087
294,617,8552000,20773
30,508,8552000,17216
157,781,3440600,21411
43,508,   ,25650
.,781,8282440,26452
131,413,7489000,22326
.,508,2079800,13091
180,617,8764344,18477
132,617,5737000,27975
60,508,8334000,13727
.,978,6155200,24367
45,508,9773000,19817
675,978,8517321,27083
47,413,7876700,31049
90,508,9956900,29392
127,413,7876700,22123
45,781,6476727,29924
.,413,5624131,25468
.,781,8268161,28895
.,781,7627764,24135
10,978,3738222,29950
88,508,8702222,14797
60,978,3728000,27191
166,508,7524681,26935
11,781,3558555,22393
30,617,6323000,20612
16,508,7659971,21128
21,508,8485353,17486
25,781,3440600,31673
15,508,6745600,25465
15,617,7893000,24851
45,508,7936611,30113
0,413,9676211,21696
0,617,5914500,21959
0,617,4245365,21550
0,508,7659771,24423
0,413,4472000,19897
0,617,2964000,21035
0,413,4472750,30137
0,617,2272622,13814
0,617,3280639,22221
0,508,9991102,14864
0,413,2093124,13549
0,508,7999000,30560
0,978,6870151,21622
0,978,4631010,18013
0,978,4631010,29366
0,978,4631010,23818
0,978,4626601,15915
0,978,4631010,2127
0,978,4631010,17024
0,978,7849546,1935
0,617,7327500,23467
0,617,6672203,23765
0,978,7936611,31669
0,413,7842500,27551
0,413,7840000,25333
0,413,7840000,21658
0,413,7942449,31764
0,413,7730211,25945
0,413,7940000,32321
0,413,7840000,18019
0,413,7945890,29423
0,413,   ,27923
0,413,7940000,22920
0,413,7940000,15114
0,413,2837651,28264
0,413,2837651,2991
0,413,9672110,22892
0,413,7940000,13836
0,413,7872500,18833
0,413,7940000,12819
0,413,7945890,15762
0,413,7940000,22578
0,413,2845210,28342
0,413,4472750,24057
0,413,4434761,22785
0,413,4472000,16273
0,413,4477999,14081
0,413,4472750,21661
0,413,4472750,27287
0,413,4472303,18815
0,617,6674607,19493
0,781,4533000,25912
0,781,6673675,28486
0,978,9222900,19985
0,508,8302001,27649
0,508,8302001,23722
0,508,8302001,29086
0,617,6678000,21365
0,508,4731190,2638
0,413,4472750,30157
0,617,6388000,21586
0,617,5342686,29959
0,617,3556000,17970
0,617,3556000,26881
0,978,3556000,13175
0,617,3556000,16466
0,617,6388000,17438
0,617,6388000,19685
0,617,6386911,31791
0,508,4573501,20057
0,617,6673675,18490
0,617,7325537,17514
0,508,7325500,27873
0,617,7325500,23452
0,617,7325537,27690
0,617,4245365,19792
0,617,7893000,13585
0,617,7893000,21033
0,508,9417000,1764
0,617,7325500,14812
0,617,7325500,20824
0,617,7325700,18436
0,413,7659771,26646
0,617,6674607,20761
0,508,8627224,21867
0,508,8625893,29240
0,508,8625552,19920
0,508,8625104,28071
0,508,8625893,14036
0,508,8625010,24149
0,508,8625893,32553
0,508,5884000,29929
0,978,2873100,15541
0,617,4981000,17434
0,617,6651001,31165
0,617,4981000,19033
0,617,4981000,16460
0,617,4981000,29562
0,617,4981000,22482
0,617,4981000,25473
0,617,6651001,23340
0,617,6651001,17795
0,617,6651000,15638
0,617,4981000,14976
0,781,6651001,14383
0,781,4981000,14117
0,617,4981000,30765
0,617,4981000,17269
0,617,4981000,15151
0,617,4981000,24088
0,508,6797115,27969
0,781,9793000,16454
0,508,7710276,30347
0,617,8259660,2104
0,781,3227560,28179
0,413,5822000,18690
0,413,5822212,25350
0,413,5822000,14631
0,413,5822000,29478
0,413,5822000,32017
0,413,5822000,13211
0,413,5822000,14451
0,413,5822000,19666
0,413,4472750,24568
0,781,6248171,1566
0,781,4533000,31834
0,413,7945890,15262
0,781,6324266,15935
0,617,6323000,13212
0,617,6324266,22426
0,617,6324266,28364
0,617,6324266,31243
0,617,6233000,15398
0,508,4273121,28350
0,978,4631010,28074
0,617,2883232,1308
0,508,8287051,23682
0,617,5687294,27586
0,617,0,32769
0,617,6388000,22960
0,978,7262000,27310
0,978,2873100,2810
0,978,2873100,17388
0,978,3691400,27242
0,978,3691400,1752
0,978,2873100,12912
0,978,3691400,15333
0,508,8246911,19349
0,413,4472303,29359
0,413,5280790,2637
0,413,8549645,24817
0,413,5280790,27549
0,508,5485500,13899
0,508,8625010,29360
0,508,8625010,25314
0,508,8625010,15889
0,508,4573504,32355
0,781,9793000,30856
0,508,7294000,26370
0,508,4731190,15292
0,508,7659771,29189
0,978,2834000,22685
0,508,4272601,14539
0,508,4272601,2258
0,508,5884000,12957
0,508,4273000,20237
0,508,4272601,22574
0,617,5225800,14255
0,781,2786001,2094
0,508,7936611,32210
0,781,9793000,28174
0,781,9793000,1279
0,781,9793000,24728
0,508,7659771,13138
0,508,7659771,23451
0,508,7659771,19011
0,508,7659771,28493
0,508,7659771,14355
0,508,7659167,17824
0,508,7659771,18533
0,508,7659771,15688
0,978,   ,23817
0,978,4662190,14773
0,781,9793000,17781
0,781,9797000,14894
0,508,8808721,19597
0,781,8485353,17155
0,781,3804360,15576
0,978,9355050,26756
0,508,9355050,22747
0,617,3258000,31388
0,617,3258000,27649
0,978,6306225,13146
0,978,6323420,14369
0,781,9355050,18196
0,508,7653002,31546
0,978,6870151,19671
0,978,6870151,22270
0,978,6870156,14728
0,978,6870151,28864
0,413,5365221,29982
0,413,5342500,19263
0,508,4222238,31735
0,508,7323200,31917
0,978,7323200,30810
0,978,7313200,20148
0,413,7840000,16257
0,617,4245365,30330
0,617,7325500,21858
0,617,7262000,18735
0,781,7445100,12579
0,781,7445796,17574
0,781,7448796,18458
0,781,7445100,2293
0,978,9223000,25913
0,781,7448330,32434
0,617,6388000,29313
0,978,9468094,22659
0,978,9468094,19398
0,978,6834000,26489
0,978,9468094,19098
0,978,3969250,17946
0,978,9376200,21091
0,978,9376378,19217
0,978,9223000,29426
0,781,9793015,19642
0,978,9376034,23314
0,978,9376201,24887
0,978,9376201,20959
0,978,9348339,27117
0,978,4581411,31043
0,978,4581411,2670
0,781,8268161,22061
0,617,4245365,27854
0,781,   ,27070
0,617,5962500,29412
0,978,9223000,21972
0,781,2225200,2616
0,508,4851121,22796
0,508,4865801,30285
0,617,3556000,20033
0,508,5737900,13938
0,617,5733006,31795
0,617,5733006,29742
0,617,5733000,25448
0,612,5733006,15045
0,617,5733006,12689
0,617,5733006,23175
0,781,   ,20848
0,978,7249300,14977
0,978,8552000,32723
0,800,3330338,15125
0,413,4472000,26245
0,617,6678000,13757
0,781,9793000,16838
0,413,7489176,16051
0,413,7489000,20960
0,413,5365111,26818
0,508,3831000,1712
0,508,6507000,27137
0,508,3831000,17919
0,508,3831000,14897
0,508,3831000,20237
0,508,3831000,12621
0,617,7262000,26827
0,617,7262000,13625
0,781,7262000,17335
0,617,7262000,19379
0,617,7262000,26943
0,617,7262000,12515
0,617,7262000,13830
0,617,7262000,17066
0,617,7262000,18470
0,617,7262000,26936
